service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JOUA95,0,0,0,0,0,0,0,20180924,20190422
KAKS3,0,0,0,0,0,0,0,20180924,20190422
OSAAVA_10,0,0,0,0,0,0,0,20180924,20190422
ITS1,0,0,0,0,0,0,0,20180924,20190422
MAATA10,0,0,0,0,0,0,0,20180924,20190422
JOUA99,0,0,0,0,0,0,0,20180924,20190422
TPS37,0,0,0,0,0,0,0,20180924,20190422
JOUA24,0,0,0,0,0,0,0,20180924,20190422
KIRJ8,0,0,0,0,0,0,0,20180924,20190422
OSAAVA_7,0,0,0,0,0,0,0,20180924,20190422
JOUA34,0,0,0,0,0,0,0,20180924,20190422
JOUA43,0,0,0,0,0,0,0,20180924,20190422
JOUA66,0,0,0,0,0,0,0,20180924,20190422
MYL4,0,0,0,0,0,0,0,20180924,20190422
NOCO5,0,0,0,0,0,0,0,20180924,20190422
JOUA47,0,0,0,0,0,0,0,20180924,20190422
JOUA30,0,0,0,0,0,0,0,20180924,20190422
JOUA53,0,0,0,0,0,0,0,20180924,20190422
JAYO8,0,0,0,0,0,0,0,20180924,20190422
JOUA106,0,0,0,0,0,0,0,20180924,20190422
Nightwish1,0,0,0,0,0,0,0,20180924,20190422
JAYO3,0,0,0,0,0,0,0,20180924,20190422
PYHYO7,0,0,0,0,0,0,0,20180924,20190422
JOUA22,0,0,0,0,0,0,0,20180924,20190422
JAYO9,0,0,0,0,0,0,0,20180924,20190422
KIRJ17,0,0,0,0,0,0,0,20180924,20190422
MYL10,0,0,0,0,0,0,0,20180924,20190422
JOUA108,0,0,0,0,0,0,0,20180924,20190422
JOUA4,0,0,0,0,0,0,0,20180924,20190422
JOUA79,0,0,0,0,0,0,0,20180924,20190422
TPS24,0,0,0,0,0,0,0,20180924,20190422
JOUA54,0,0,0,0,0,0,0,20180924,20190422
JOUA60,0,0,0,0,0,0,0,20180924,20190422
Nightwish2,0,0,0,0,0,0,0,20180924,20190422
KAA3,0,0,0,0,0,0,0,20180924,20190422
JOUA70,0,0,0,0,0,0,0,20180924,20190422
KIRJ7,0,0,0,0,0,0,0,20180924,20190422
LIE3,0,0,0,0,0,0,0,20180924,20190422
KIRJ18,0,0,0,0,0,0,0,20180924,20190422
JOUA105,0,0,0,0,0,0,0,20180924,20190422
JOUA75,0,0,0,0,0,0,0,20180924,20190422
KIRJ11,0,0,0,0,0,0,0,20180924,20190422
PYHYO11,0,0,0,0,0,0,0,20180924,20190422
OSAAVA_1,0,0,0,0,0,0,0,20180924,20190422
ILP2,0,0,0,0,0,0,0,20180924,20190422
OSAAVA_9,0,0,0,0,0,0,0,20180924,20190422
MYL5,0,0,0,0,0,0,0,20180924,20190422
JOUA67,0,0,0,0,0,0,0,20180924,20190422
TPS34,0,0,0,0,0,0,0,20180924,20190422
KIRJ13,0,0,0,0,0,0,0,20180924,20190422
PYHYO2,0,0,0,0,0,0,0,20180924,20190422
JOUA17,0,0,0,0,0,0,0,20180924,20190422
TPS6,0,0,0,0,0,0,0,20180924,20190422
PYHYO1,0,0,0,0,0,0,0,20180924,20190422
TPS41,0,0,0,0,0,0,0,20180924,20190422
MYL12,0,0,0,0,0,0,0,20180924,20190422
PYHYO22,0,0,0,0,0,0,0,20180924,20190422
JOUA76,0,0,0,0,0,0,0,20180924,20190422
MAATA2,0,0,0,0,0,0,0,20180924,20190422
JOUA51,0,0,0,0,0,0,0,20180924,20190422
NOCO3,0,0,0,0,0,0,0,20180924,20190422
MYL8,0,0,0,0,0,0,0,20180924,20190422
Joulumy4,0,0,0,0,0,0,0,20180924,20190422
TPS5,0,0,0,0,0,0,0,20180924,20190422
JOUA56,0,0,0,0,0,0,0,20180924,20190422
TPS40,0,0,0,0,0,0,0,20180924,20190422
KIRJ5,0,0,0,0,0,0,0,20180924,20190422
JOUA72,0,0,0,0,0,0,0,20180924,20190422
PYHYO3,0,0,0,0,0,0,0,20180924,20190422
JAYO6,0,0,0,0,0,0,0,20180924,20190422
Joulumy3,0,0,0,0,0,0,0,20180924,20190422
JOUA57,0,0,0,0,0,0,0,20180924,20190422
JOUA98,0,0,0,0,0,0,0,20180924,20190422
JOUA107,0,0,0,0,0,0,0,20180924,20190422
JOUA97,0,0,0,0,0,0,0,20180924,20190422
JOUA71,0,0,0,0,0,0,0,20180924,20190422
JAYO1,0,0,0,0,0,0,0,20180924,20190422
VENEXPO2,0,0,0,0,0,0,0,20180924,20190422
JOUA96,0,0,0,0,0,0,0,20180924,20190422
JOUA84,0,0,0,0,0,0,0,20180924,20190422
PYHYO13,0,0,0,0,0,0,0,20180924,20190422
JOUA8,0,0,0,0,0,0,0,20180924,20190422
JOUA37,0,0,0,0,0,0,0,20180924,20190422
PYHYO20,0,0,0,0,0,0,0,20180924,20190422
JOUA101,0,0,0,0,0,0,0,20180924,20190422
JOUA26,0,0,0,0,0,0,0,20180924,20190422
PYHYO12,0,0,0,0,0,0,0,20180924,20190422
JOUA92,0,0,0,0,0,0,0,20180924,20190422
KIRJ12,0,0,0,0,0,0,0,20180924,20190422
TPS10,0,0,0,0,0,0,0,20180924,20190422
LIE6,0,0,0,0,0,0,0,20180924,20190422
JAYO4,0,0,0,0,0,0,0,20180924,20190422
JOUA6,0,0,0,0,0,0,0,20180924,20190422
JOUA23,0,0,0,0,0,0,0,20180924,20190422
KIRJ6,0,0,0,0,0,0,0,20180924,20190422
ILP1,0,0,0,0,0,0,0,20180924,20190422
KAA1,0,0,0,0,0,0,0,20180924,20190422
TPS2,0,0,0,0,0,0,0,20180924,20190422
