service_id,date,exception_type
JOUA95,20181224,1
KAKS3,20181001,1
KAKS3,20181002,1
KAKS3,20181003,1
KAKS3,20181004,1
KAKS3,20181005,1
KAKS3,20181015,1
KAKS3,20181016,1
KAKS3,20181017,1
KAKS3,20181029,1
KAKS3,20181030,1
KAKS3,20181031,1
KAKS3,20181101,1
KAKS3,20181102,1
KAKS3,20181112,1
KAKS3,20181113,1
KAKS3,20181114,1
KAKS3,20181115,1
KAKS3,20181116,1
KAKS3,20181126,1
KAKS3,20181127,1
KAKS3,20181128,1
KAKS3,20181129,1
KAKS3,20181130,1
KAKS3,20181210,1
KAKS3,20181211,1
KAKS3,20181212,1
KAKS3,20181213,1
KAKS3,20181214,1
KAKS3,20190107,1
KAKS3,20190108,1
KAKS3,20190109,1
KAKS3,20190110,1
KAKS3,20190111,1
KAKS3,20190121,1
KAKS3,20190122,1
KAKS3,20190123,1
KAKS3,20190124,1
KAKS3,20190125,1
KAKS3,20190204,1
KAKS3,20190205,1
KAKS3,20190206,1
KAKS3,20190207,1
KAKS3,20190208,1
KAKS3,20190304,1
KAKS3,20190305,1
KAKS3,20190306,1
KAKS3,20190307,1
KAKS3,20190308,1
KAKS3,20190318,1
KAKS3,20190319,1
KAKS3,20190320,1
KAKS3,20190321,1
KAKS3,20190322,1
KAKS3,20190401,1
KAKS3,20190402,1
KAKS3,20190403,1
KAKS3,20190404,1
KAKS3,20190405,1
KAKS3,20190415,1
KAKS3,20190416,1
KAKS3,20190417,1
KAKS3,20190418,1
OSAAVA_10,20181028,1
ITS1,20181205,1
MAATA10,20181118,1
JOUA99,20181224,1
TPS37,20181027,1
JOUA24,20181224,1
KIRJ8,20181005,1
OSAAVA_7,20181027,1
JOUA34,20181224,1
JOUA43,20181224,1
JOUA66,20181224,1
MYL4,20181117,1
MYL4,20181124,1
MYL4,20181201,1
MYL4,20181208,1
MYL4,20181215,1
MYL4,20181222,1
MYL4,20190105,1
MYL4,20190112,1
NOCO5,20181028,1
JOUA47,20181224,1
JOUA30,20181224,1
JOUA53,20181224,1
JAYO8,20181116,1
JAYO8,20181117,1
JAYO8,20181123,1
JAYO8,20181124,1
JAYO8,20181130,1
JAYO8,20181201,1
JAYO8,20181207,1
JAYO8,20181208,1
JAYO8,20181214,1
JAYO8,20181215,1
JOUA106,20181224,1
Nightwish1,20181214,1
