stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
1309,1309,Kivelänperäntie,,60.36122187,22.12078782,FÖLI,,0,,Europe/Helsinki
1770,1770,Nousiaistenkatu,,60.53475978,22.29058928,FÖLI,,0,,Europe/Helsinki
5242,5242,Kulkuripellontie,,60.47144255,22.41218617,FÖLI,,0,,Europe/Helsinki
1750,1750,Rälssinkatu,,60.39941713,22.25755411,FÖLI,,0,,Europe/Helsinki
2116,2116,Haunisten liittymä,,60.49097391,22.18846792,FÖLI,,0,,Europe/Helsinki
1055,1055,Untolankatu,,60.46130763,22.24563343,FÖLI,,0,,Europe/Helsinki
T42,T42,Kauppatori,,60.45050829,22.26627162,FÖLI,,0,,Europe/Helsinki
143,143,Ajurinkatu,,60.45577496,22.26066121,FÖLI,,0,,Europe/Helsinki
6239,6239,Lystilä,,60.42682186,22.53996043,FÖLI,,0,,Europe/Helsinki
1289,1289,Kierläntie,,60.34844499,22.21015957,FÖLI,,0,,Europe/Helsinki
27,27,Markulantie,,60.47652276,22.25023339,FÖLI,,0,,Europe/Helsinki
206,206,Koulukatu,,60.45012505,22.25375093,FÖLI,,0,,Europe/Helsinki
4017,4017,Ruskon keskusta,,60.54111012,22.22196848,FÖLI,,0,,Europe/Helsinki
6240,6240,Lystilä,,60.4265919,22.53846456,FÖLI,,0,,Europe/Helsinki
8015,8015,Holpinkatu,,60.64295316,22.59167378,V-S ELY,,0,,Europe/Helsinki
6183,6183,Verhonkuja,,60.41534762,22.54251608,FÖLI,,0,,Europe/Helsinki
2060,2060,Tenavakatu,,60.49826272,22.15738067,FÖLI,,0,,Europe/Helsinki
1023,1023,Untolankatu,,60.46078263,22.24603808,FÖLI,,0,,Europe/Helsinki
8114,8114,Kalakouluntie P,,60.32518937,22.34594504,V-S ELY,,0,,Europe/Helsinki
6671,6671,Yli-Markkula,,60.49028262,22.75214433,V-S ELY,,0,,Europe/Helsinki
3213,3213,Lampuodintie,,60.49865011,22.0428198,FÖLI,,0,,Europe/Helsinki
5062,5062,Pakurla,,60.4994894,22.36308599,FÖLI,,0,,Europe/Helsinki
1118,1118,Mäntysaarentie,,60.56596056,22.33621611,FÖLI,,0,,Europe/Helsinki
3170,3170,Sattirauma,,60.33962451,21.9783794,FÖLI,,0,,Europe/Helsinki
5007,5007,Nenämäki,,60.4864621,22.4011697,FÖLI,,0,,Europe/Helsinki
5037,5037,Teollisuuskuja,,60.51277877,22.471588,FÖLI,,0,,Europe/Helsinki
1076,1076,Moisionramppi,,60.53303291,22.30687951,FÖLI,,0,,Europe/Helsinki
6608,6608,Vuohimäentie,,60.45121713,22.62002447,V-S ELY,,0,,Europe/Helsinki
1465,1465,Pulkkavuori,,60.41532358,22.27830518,FÖLI,,0,,Europe/Helsinki
6660,6660,Kiusala,,60.45938963,22.72484798,V-S ELY,,0,,Europe/Helsinki
5075,5075,Laustee,,60.51395706,22.4038842,FÖLI,,0,,Europe/Helsinki
